0.228	0.508	0.244	0.317	0.371	0.400	0
0.589	0.482	0.587	0.367	0.543	0.600	2
0.310	0.325	0.492	0.426	0.286	0.400	0
0.733	0.491	0.800	0.800	0.543	0.600	1
0.633	0.635	0.466	0.200	0.800	0.300	3
0.254	0.200	0.538	0.393	0.286	0.600	1
0.495	0.765	0.258	0.284	0.543	0.500	0
0.266	0.351	0.430	0.428	0.286	0.400	0
0.488	0.517	0.470	0.352	0.371	0.600	2
0.368	0.700	0.200	0.260	0.457	0.600	3
0.800	0.618	0.686	0.544	0.457	0.600	2
0.392	0.399	0.496	0.397	0.457	0.300	0
0.403	0.669	0.247	0.208	0.543	0.300	0
0.649	0.584	0.534	0.272	0.457	0.700	1
0.468	0.535	0.424	0.278	0.457	0.400	3
0.661	0.529	0.621	0.447	0.629	0.300	1
0.200	0.465	0.252	0.301	0.286	0.400	0
0.531	0.529	0.502	0.380	0.371	0.600	2
0.274	0.319	0.463	0.412	0.286	0.400	0
0.538	0.503	0.597	0.659	0.371	0.600	1
0.450	0.426	0.497	0.272	0.457	0.400	1
0.390	0.556	0.356	0.361	0.371	0.500	0
0.586	0.740	0.367	0.339	0.457	0.500	0
0.355	0.557	0.321	0.341	0.457	0.300	0
0.617	0.632	0.492	0.387	0.457	0.500	2
0.465	0.654	0.313	0.216	0.543	0.500	1
0.389	0.493	0.402	0.336	0.457	0.300	0
0.484	0.484	0.483	0.297	0.457	0.400	1
0.412	0.670	0.252	0.205	0.543	0.400	3
0.730	0.561	0.646	0.417	0.629	0.600	1
0.407	0.462	0.432	0.272	0.371	0.400	3
0.406	0.651	0.282	0.314	0.543	0.500	0
0.204	0.334	0.384	0.400	0.200	0.500	0
0.517	0.539	0.486	0.395	0.371	0.600	2
0.380	0.623	0.279	0.292	0.371	0.500	0
0.698	0.650	0.558	0.459	0.457	0.600	2
0.481	0.512	0.483	0.417	0.371	0.500	0
0.317	0.600	0.235	0.252	0.457	0.400	0
0.626	0.517	0.579	0.326	0.457	0.800	1
0.350	0.375	0.471	0.364	0.371	0.400	0
0.680	0.473	0.716	0.598	0.371	0.500	1
0.467	0.610	0.374	0.337	0.457	0.400	0
0.432	0.586	0.353	0.290	0.457	0.500	0
0.608	0.690	0.415	0.278	0.543	0.500	1
0.325	0.517	0.311	0.249	0.371	0.300	3
0.630	0.538	0.571	0.347	0.371	0.600	2
0.399	0.564	0.363	0.389	0.371	0.500	0
0.568	0.800	0.295	0.305	0.457	0.700	0
0.334	0.496	0.362	0.387	0.200	0.300	0
0.546	0.578	0.479	0.393	0.457	0.500	0
0.475	0.670	0.323	0.306	0.629	0.600	0
0.321	0.442	0.389	0.356	0.457	0.500	0
0.518	0.550	0.464	0.325	0.457	0.700	2
0.442	0.653	0.298	0.242	0.457	0.200	3
0.796	0.704	0.582	0.419	0.457	0.600	2
0.419	0.495	0.423	0.314	0.457	0.500	3
0.474	0.604	0.375	0.296	0.543	0.400	0
0.484	0.634	0.370	0.348	0.371	0.400	0
0.385	0.516	0.383	0.354	0.543	0.600	0
0.562	0.666	0.398	0.289	0.543	0.600	0
0.378	0.558	0.336	0.325	0.286	0.400	3
0.600	0.561	0.529	0.349	0.457	0.400	2
0.469	0.595	0.381	0.311	0.543	0.500	0
